,,,,,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,,,,,
,,,,,,,,,
USPS Signature Confirmation,,,,,,,,,
"2022 Commercial Pricing â€¢ Effective January 9th, 2022",,,,,,,,,
,,,,,,,,,
"If you need a signature for delivery, you can add one to any domestic service.",,,,,,,,,
,,,,,,,,,
Commercial Pricing - The cheapest rates USPS offers for this service!,,,,,,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,,,,,,
,,,,,,,,,
Service,2022 Rates,2020 Rates,,,,,,,
Signature Confirmation,$2.90,$2.65,,,,,,,
Adult Signature,$8.50,$6.65,,,,,,,