,,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,,
,,,,,,
Pirate Ship Simple Export Rate®,,,,,,
"2022 Pirate Ship Pricing • Effective February 1st, 2022",,,,,,
,,,,,,
"Exclusive to Pirate Ship, save up to 50% with the cheapest international service available with no minimums - Chat with us to request access",,,,,,
The best option for businesses expanding globablly - Delivered in 1-4 weeks depending on the receiving country's postal service.,,,,,,
"We recommend adding a Declared Value to purchase insurance, just in case packages are lost or damaged.",,,,,,
,,,,,,
By invitation only - Chat with us to request access,,,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,,,
,,,,,,
2022 Rates,Canada,All other countries,,,,
Weight Not Over,Canada,Rest of World,,,,
0.5 lb,$8.99,$10.99,,,,
1 lb,$10.99,$14.99,,,,
2 lb,$14.99,$18.99,,,,
3 lb,$18.99,$25.99,,,,
4 lb,$25.99,$34.99,,,,