,,,,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,,,,
,,,,,,,,
Extra Services & Nonstandard Fees,,,,,,,,
"2023 Pricing â€¢ Effective January 22nd, 2023",,,,,,,,
,,,,,,,,
Shipping Insurance,,,,,,,,
Simply enter a Declared Package Value in the Extra Services to add 3rd-party insurance through Shipsurance shipping insurance.,,,,,,,,
Declared values less than the Carrier Liability included with any shipping service will not add 3rd-party insurance.,,,,,,,,
To file claims just contact Pirate Ship's customer support.,,,,,,,,
,,,,,,,,
"Packages can be insured up to $5,000, or $1,000 for USPS First Class Package Service.",,,,,,,,
View the Shipping Insurance Terms and Conditions here.,,,,,,,,
,,,,,,,,
Service,Rates,,,,,,,
3rd-party Insurance - Domestic Shipments,"$0.75 for up to $50 in declared value, then $0.80 per $100",,,,,,,
3rd-party Insurance - International Shipments,$1.35 per $100,,,,,,,
,,,,,,,,
Signature Confirmation,,,,,,,,
"If you need a signature for delivery, you can add one to any domestic service.",,,,,,,,
,,,,,,,,
Service,Rates,,,,,,,
Signature Confirmation,$3.25,,,,,,,
Adult Signature,$9.05,,,,,,,
,,,,,,,,
Nonstandard Fees,,,,,,,,
USPS charges additional fees when a package is larger than normal because they have to handle it manually.,,,,,,,,
Learn more about Nonstandard Fees here.,,,,,,,,
,,,,,,,,
Fee,Parcel Select Ground,Priority Mail & Priority Mail Express,,,,,,
"Nonstandard Length fee > 22"" and <= 30""",$4.00,$4.00,,,,,,
"Nonstandard Length fee > 30""",$7.00,$15.00,,,,,,
Nonstandard Volume fee > 2 cu. ft.,$15.00,$25.00,,,,,,