,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,
,,,,,
USPS Media Mail,,,,,
"2023 Single Piece Pricing â€¢ Effective January 22nd, 2023",,,,,
,,,,,
"You can only use Media Mail if you're shipping books, records, or purely educational material.",,,,,
No merchandise or advertising allowed. USPS may inspect your packages to ensure compliance.,,,,,
2-8 day delivery with full tracking.,,,,,
,,,,,
The cheapest rates USPS offers for this service!,,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,,
,,,,,
Weight Not Over (lbs),Rates,,,,
1,$3.65,,,,
2,$4.35,,,,
3,$5.05,,,,
4,$5.75,,,,
5,$6.45,,,,
6,$7.15,,,,
7,$7.85,,,,
8,$8.55,,,,
9,$9.25,,,,
10,$9.95,,,,
11,$10.65,,,,
12,$11.35,,,,
13,$12.05,,,,
14,$12.75,,,,
15,$13.45,,,,
16,$14.15,,,,
17,$14.85,,,,
18,$15.55,,,,
19,$16.25,,,,
20,$16.95,,,,
21,$17.65,,,,
22,$18.35,,,,
23,$19.05,,,,
24,$19.75,,,,
25,$20.45,,,,
26,$21.15,,,,
27,$21.85,,,,
28,$22.55,,,,
29,$23.25,,,,
30,$23.95,,,,
31,$24.65,,,,
32,$25.35,,,,
33,$26.05,,,,
34,$26.75,,,,
35,$27.45,,,,
36,$28.15,,,,
37,$28.85,,,,
38,$29.55,,,,
39,$30.25,,,,
40,$30.95,,,,
41,$31.65,,,,
42,$32.35,,,,
43,$33.05,,,,
44,$33.75,,,,
45,$34.45,,,,
46,$35.15,,,,
47,$35.85,,,,
48,$36.55,,,,
49,$37.25,,,,
50,$37.95,,,,
51,$38.65,,,,
52,$39.35,,,,
53,$40.05,,,,
54,$40.75,,,,
55,$41.45,,,,
56,$42.15,,,,
57,$42.85,,,,
58,$43.55,,,,
59,$44.25,,,,
60,$44.95,,,,
61,$45.65,,,,
62,$46.35,,,,
63,$47.05,,,,
64,$47.75,,,,
65,$48.45,,,,
66,$49.15,,,,
67,$49.85,,,,
68,$50.55,,,,
69,$51.25,,,,
70,$51.95,,,,