,,,,,,,,,,,,,,,,,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
USPS Priority Mail International,,,,,,,,,,,,,,,,,,,,,
"USPS Commercial Pricing Rates â€¢ Effective January 22nd, 2023",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"The cheapest USPS international service if your shipments are over 4 lb, or if you want them to arrive faster within 6-10 days.",,,,,,,,,,,,,,,,,,,,,
Includes $200 insurance and end-to-end tracking for most countries.,,,,,,,,,,,,,,,,,,,,,
"Use the ""International Country Codes"" to determine which group each country is in.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Commercial Pricing - The cheapest rates USPS offers for this service!,,,,,,,,,,,,,,,,,,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Rates,Canada,"Rest of World: Use the ""International Country Codes"" to determine which group each country is in.",,,,,,,,,,,,,,,,,,,
Weight Not Over (lbs),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
Flat Rate Envelopes,$28.57,$35.35,$43.28,$40.60,$40.78,$41.43,$41.07,$43.17,-,-,-,-,-,-,-,-,-,-,-,-,
Small Flat Rate Box,$29.64,$36.68,$44.90,$42.13,$42.32,$42.99,$42.62,$44.79,-,-,-,-,-,-,-,-,-,-,-,-,
Medium Flat Rate Box,$56.10,$66.50,$92.81,$75.12,$76.92,$84.24,$83.44,$98.72,-,-,-,-,-,-,-,-,-,-,-,-,
Large Flat Rate Box,$69.10,$79.29,$116.77,$88.87,$93.60,$103.79,$102.81,$127.11,-,-,-,-,-,-,-,-,-,-,-,-,
1,$39.53,$48.91,$59.88,$56.18,$56.43,$57.33,$56.83,$59.73,$57.98,$52.06,$52.26,$57.98,$53.52,$59.24,$52.32,$58.24,$58.99,$54.23,$60.85,$60.14,
2,$42.69,$52.06,$65.85,$59.64,$59.93,$62.25,$61.64,$66.80,$64.89,$56.63,$56.63,$63.94,$58.38,$63.85,$56.23,$61.44,$63.09,$60.68,$68.63,$66.55,
3,$45.79,$55.27,$71.87,$63.05,$63.34,$67.10,$66.50,$73.87,$71.81,$61.28,$60.99,$69.86,$63.14,$68.35,$60.14,$64.63,$67.20,$65.20,$76.42,$70.86,
4,$48.89,$58.48,$77.83,$66.50,$66.80,$72.01,$71.31,$80.98,$78.68,$65.85,$65.35,$75.82,$67.95,$72.91,$64.05,$67.83,$71.31,$69.76,$84.20,$75.17,
5,$51.49,$61.69,$83.84,$69.90,$70.66,$76.92,$76.17,$88.10,$85.54,$70.46,$69.66,$83.42,$72.71,$77.43,$67.95,$71.03,$75.47,$74.37,$91.99,$80.83,
6,$54.56,$64.89,$89.80,$73.36,$74.83,$81.78,$81.03,$95.16,$92.46,$75.07,$74.02,$108.07,$77.57,$81.93,$71.81,$74.22,$79.58,$78.98,$99.77,$85.14,
7,$57.63,$68.10,$95.82,$76.88,$79.00,$86.70,$85.85,$102.28,$99.33,$79.68,$78.95,$115.28,$82.38,$86.50,$75.72,$77.98,$83.69,$83.69,$107.56,$89.40,
8,$61.35,$71.27,$101.78,$80.29,$83.17,$91.61,$90.71,$109.39,$106.29,$84.29,$84.13,$122.64,$87.14,$91.00,$79.63,$81.98,$87.80,$88.40,$115.34,$93.72,
9,$64.45,$74.51,$107.79,$83.74,$87.34,$96.47,$95.56,$116.46,$113.16,$88.90,$89.30,$129.92,$91.95,$95.56,$83.53,$85.99,$91.91,$93.21,$123.12,$98.02,
10,$67.55,$77.68,$113.76,$87.14,$91.51,$101.33,$100.37,$123.58,$120.02,$93.52,$94.48,$137.22,$96.82,$100.08,$87.40,$90.00,$96.02,$97.97,$130.91,$102.38,
11,$70.65,$80.89,$119.77,$90.60,$95.68,$106.24,$105.24,$130.64,$126.94,$98.07,$99.66,$144.56,$101.58,$104.58,$89.85,$92.56,$100.13,$101.28,$138.69,$106.69,
12,$73.76,$84.09,$125.68,$94.01,$99.85,$111.10,$110.05,$137.76,$133.81,$102.74,$104.84,$151.79,$106.39,$109.15,$92.35,$95.12,$104.23,$104.54,$146.48,$111.00,
13,$76.86,$87.25,$131.70,$97.56,$104.02,$116.01,$114.91,$144.83,$140.66,$107.29,$110.02,$159.13,$111.15,$113.66,$96.02,$98.87,$108.35,$109.19,$154.26,$115.31,
14,$80.01,$90.51,$137.66,$101.52,$108.19,$120.92,$119.77,$151.94,$147.64,$111.96,$115.20,$166.41,$116.01,$118.21,$99.68,$102.63,$112.45,$113.86,$162.05,$119.67,
15,$83.11,$93.66,$143.67,$105.49,$112.37,$125.79,$124.58,$159.06,$154.49,$116.51,$120.37,$173.77,$120.78,$122.73,$103.28,$106.39,$116.57,$118.61,$169.83,$123.93,
16,$86.21,$96.92,$149.64,$109.45,$116.54,$130.69,$129.44,$166.12,$161.42,$121.18,$125.55,$181.05,$125.59,$127.23,$106.89,$110.10,$120.67,$123.33,$177.62,$128.24,
17,$89.31,$100.08,$155.65,$113.41,$120.71,$135.61,$134.30,$173.24,$168.28,$125.73,$130.73,$188.28,$130.44,$131.80,$110.55,$113.86,$124.79,$128.19,$185.40,$132.55,
18,$92.42,$103.28,$161.62,$117.37,$124.88,$140.46,$139.11,$180.31,$175.14,$130.40,$135.91,$195.62,$135.21,$136.31,$114.20,$117.61,$128.94,$133.05,$193.18,$136.91,
19,$95.52,$106.49,$167.63,$121.33,$129.05,$145.33,$143.98,$187.42,$182.06,$134.96,$141.09,$202.92,$140.02,$140.82,$117.81,$121.38,$133.05,$137.91,$200.97,$141.22,
20,$98.67,$109.70,$173.59,$125.29,$133.22,$150.24,$148.79,$194.54,$188.97,$139.62,$146.26,$210.26,$144.78,$145.38,$121.47,$125.13,$137.16,$142.07,$208.75,$145.53,
21,$101.78,$112.91,$179.60,$129.25,$137.39,$155.10,$153.65,$201.60,$195.89,$144.18,$151.44,$217.54,$149.64,$149.88,$125.13,$128.89,$141.26,$146.08,$216.54,$149.84,
22,$104.87,$116.06,$185.56,$133.21,$141.56,$160.01,$158.68,$208.72,$202.76,$148.79,$156.62,$224.90,$154.45,$154.45,$128.74,$132.60,$145.38,$150.28,$224.32,$154.28,
23,$107.98,$119.27,$191.54,$137.17,$145.73,$164.92,$163.99,$215.83,$209.62,$153.40,$161.80,$232.12,$159.21,$158.96,$132.40,$136.36,$149.48,$154.40,$232.11,$158.87,
24,$111.08,$122.47,$197.55,$141.14,$149.90,$169.78,$169.29,$222.90,$216.54,$158.01,$166.98,$239.47,$164.02,$163.47,$136.05,$140.11,$153.60,$158.50,$239.89,$163.47,
25,$114.18,$125.68,$203.51,$145.10,$154.07,$174.70,$174.60,$229.97,$223.41,$162.62,$172.16,$246.75,$168.83,$168.03,$139.66,$143.87,$157.70,$162.62,$247.68,$168.07,
26,$117.33,$128.89,$209.52,$149.06,$158.24,$179.60,$179.90,$237.13,$230.37,$167.23,$177.33,$254.05,$173.64,$172.53,$143.27,$147.64,$161.82,$166.72,$255.46,$172.66,
27,$120.43,$132.10,$215.48,$153.02,$162.41,$184.47,$185.21,$244.20,$237.24,$171.84,$182.51,$261.39,$178.45,$177.10,$146.93,$151.34,$165.92,$170.78,$263.24,$177.26,
28,$123.54,$135.25,$221.50,$156.98,$166.58,$189.33,$190.51,$251.27,$244.10,$176.40,$187.69,$268.63,$183.21,$181.61,$150.59,$155.10,$170.03,$174.90,$271.03,$181.86,
29,$126.64,$138.51,$227.46,$160.94,$170.75,$194.43,$195.82,$258.38,$251.02,$181.06,$192.87,$276.68,$188.07,$186.12,$154.25,$158.86,$174.14,$179.11,$278.81,$186.45,
30,$129.73,$141.67,$233.47,$164.90,$174.93,$199.75,$201.12,$265.50,$257.88,$185.62,$198.05,$284.74,$192.83,$190.68,$157.86,$162.62,$178.31,$183.21,$286.60,$191.05,
31,$132.84,$144.93,$239.44,$168.86,$179.10,$205.06,$206.43,$272.56,$264.74,$190.28,$203.23,$292.79,$197.64,$195.19,$161.51,$166.37,$182.41,$187.33,$294.38,$195.64,
32,$135.99,$148.08,$245.46,$172.82,$183.27,$210.38,$211.73,$279.63,$271.72,$194.84,$208.40,$300.84,$202.45,$199.75,$165.17,$170.09,$186.52,$191.43,$302.17,$200.24,
33,$139.10,$151.24,$251.42,$176.79,$187.44,$215.70,$217.04,$286.79,$278.57,$199.45,$213.58,$308.90,$207.27,$204.26,$168.78,$173.84,$190.63,$195.49,$309.95,$204.84,
34,$142.20,$154.49,$257.43,$180.75,$191.61,$221.02,$222.34,$293.86,$285.49,$204.06,$218.76,$316.95,$212.08,$208.77,$172.44,$177.60,$194.74,$199.65,$317.74,$209.43,
35,$145.29,$157.66,$263.39,$184.71,$195.78,$226.34,$227.65,$300.93,$292.36,$208.67,$223.94,$325.00,$216.83,$213.33,$176.05,$181.35,$198.85,$203.76,$325.52,$214.03,
36,$148.40,$160.91,$269.40,$188.67,$199.95,$231.66,$232.95,$308.04,$299.22,$213.28,$229.12,$333.05,$221.70,$217.84,$179.71,$185.12,$202.96,$207.87,$333.30,$218.63,
37,$151.51,$164.07,$275.37,$192.63,$204.12,$236.98,$238.26,$315.16,$306.14,$217.89,$234.29,$341.11,$226.51,$222.40,$183.32,$188.82,$207.06,$211.98,$341.09,$223.22,
38,$154.66,$167.28,$281.38,$196.59,$208.29,$242.29,$243.56,$322.23,$313.01,$222.50,$239.47,$349.16,$231.27,$226.91,$186.97,$192.58,$211.18,$216.09,$348.87,$227.82,
39,$157.75,$170.49,$287.35,$200.55,$212.46,$247.61,$248.87,$329.34,$319.97,$227.11,$244.65,$357.21,$236.08,$231.42,$190.63,$196.35,$215.28,$220.20,$356.66,$232.42,
40,$160.86,$173.70,$293.36,$204.51,$216.63,$252.93,$254.17,$336.46,$326.84,$231.72,$249.83,$365.26,$240.89,$235.98,$194.29,$200.10,$219.40,$224.25,$364.44,$237.01,
41,$163.96,$176.85,$299.32,$208.47,$220.80,$258.25,$259.48,$343.52,$333.70,$236.33,$255.01,$373.32,$245.70,$240.49,$197.90,$203.86,$223.50,$228.37,$372.23,$241.61,
42,$167.07,$180.11,$305.34,$212.44,$224.97,$263.57,$264.78,$350.64,$340.62,$240.89,$260.19,$381.37,$250.51,$245.06,$201.56,$207.57,$227.66,$232.47,$380.01,$246.20,
43,$170.16,$183.26,$311.30,$216.40,$229.14,$268.89,$270.09,$357.71,$347.49,$245.55,$265.36,$389.42,$255.28,$249.56,$205.21,$211.33,$231.77,$236.58,$387.80,$250.80,
44,$173.32,$186.47,$317.31,$220.36,$233.32,$274.21,$275.39,$364.82,$354.40,$250.11,$270.54,$397.48,$260.13,$254.08,$208.82,$215.08,$235.88,$240.69,$395.58,$255.40,
45,$176.42,$189.68,$323.27,$224.32,$237.49,$279.53,$280.70,$371.94,$361.32,$254.77,$275.72,$405.53,$264.90,$258.63,$212.42,$218.84,$239.99,$244.80,-,$259.99,
46,$179.52,$192.83,$329.29,$228.28,$241.66,$284.84,$286.00,$379.00,$368.17,$259.33,$280.90,$413.58,$269.71,$263.14,$216.09,$222.61,$244.10,$249.06,-,$264.59,
47,$182.63,$196.09,$335.26,$232.24,$245.83,$290.16,$291.31,$386.12,$375.09,$263.99,$286.08,$421.63,$274.52,$267.65,$219.75,$226.36,$248.21,$253.17,-,$269.19,
48,$185.72,$199.25,$341.27,$236.20,$250.00,$295.48,$296.61,$393.23,$381.96,$268.55,$291.26,$429.69,$279.33,$272.21,$223.35,$230.06,$252.31,$257.28,-,$273.78,
49,$188.82,$202.51,$347.23,$240.16,$254.17,$300.80,$301.92,$400.30,$388.82,$273.21,$296.43,$437.74,$284.14,$276.73,$227.01,$233.83,$256.43,$261.39,-,$278.38,
50,$191.98,$205.66,$353.25,$244.12,$258.34,$306.12,$307.22,$407.37,$395.74,$277.77,$301.61,$445.79,$288.90,$281.28,$230.67,$237.59,$260.53,$265.50,-,$282.97,
51,$195.08,$208.87,$359.15,$248.09,$262.51,$311.44,$312.53,$414.48,$402.65,$282.34,$306.79,$453.84,$293.76,$285.79,$234.27,$241.34,$264.65,$269.61,-,$287.57,
52,$198.18,$212.08,$365.17,$252.05,$266.68,$316.76,$317.83,$421.60,$409.57,$286.99,$311.97,$461.90,$298.58,$290.30,$237.93,$245.10,$268.75,$273.67,-,$292.17,
53,$201.28,$215.28,$371.14,$256.01,$270.85,$322.07,$323.14,$428.67,$416.44,$291.56,$317.15,$469.95,$303.33,$294.86,$241.60,$248.81,$272.87,$277.77,-,$296.76,
54,$204.39,$218.49,$377.10,$259.97,$275.02,$327.39,$328.44,$435.78,$423.30,$296.21,$322.32,$478.00,$308.14,$299.42,$245.20,$252.57,$276.97,$281.89,-,$301.36,
55,$207.49,$221.64,$383.11,$263.93,$279.19,$332.71,$333.75,$442.90,$430.22,$300.78,$327.50,$486.06,$312.96,$303.99,$248.81,$256.32,$281.14,$285.99,-,$305.96,
56,$210.64,$224.85,$389.07,$267.89,$283.36,$338.03,$339.05,$449.96,$437.09,$305.43,$332.68,$494.11,$317.77,$308.49,$252.47,$260.09,$285.24,$290.10,-,$310.55,
57,$213.74,$228.06,$395.09,$271.85,$287.53,$343.35,$344.36,$457.03,$444.05,$310.00,$337.86,$502.16,$322.58,$313.01,$256.12,$263.84,$289.35,$294.21,-,$315.15,
58,$216.84,$231.27,$401.05,$275.81,$291.70,$348.67,$349.66,$464.19,$450.92,$314.65,$343.04,$510.21,$327.33,$317.57,$259.78,$267.55,$293.46,$298.27,-,$319.74,
59,$219.95,$234.47,$407.06,$279.77,$295.88,$353.99,$354.97,$471.26,$457.78,$319.22,$348.22,$518.27,$332.20,$322.07,$263.39,$271.31,$297.57,$302.43,-,$324.34,
60,$223.05,$237.68,$413.03,$283.74,$300.05,$359.30,$360.27,$478.33,$464.70,$323.87,$353.39,$526.32,$336.96,$326.64,$267.05,$275.07,$301.68,$306.54,-,$328.94,
61,$226.15,$240.85,$419.05,$287.70,$304.22,$364.62,$365.58,$485.44,$471.56,$328.44,$358.57,$534.37,$341.77,$331.14,$270.71,$278.83,$305.79,$310.64,-,$333.53,
62,$229.30,$244.10,$425.01,$291.66,$308.39,$369.94,$370.88,$492.56,$478.42,$333.05,$363.75,$542.42,$346.58,$335.66,$274.32,$282.58,$309.90,$314.85,-,$338.13,
63,$232.41,$247.26,$431.02,$295.62,$312.56,$375.26,$376.19,$499.63,$485.39,$337.66,$368.93,$550.48,$351.39,$340.22,$277.97,$286.30,$314.01,$318.97,-,$342.73,
64,$235.51,$250.51,$436.98,$299.58,$316.73,$380.58,$381.49,$506.74,$492.25,$342.27,$374.11,$558.53,$356.20,$344.72,$281.58,$290.05,$318.11,$323.07,-,$347.32,
65,$238.60,$253.67,$442.99,$303.54,$320.90,$385.90,$386.80,$513.86,$499.17,$346.88,$379.28,$566.58,$360.96,$349.29,$285.24,$293.81,$322.23,$327.13,-,$351.92,
66,$241.71,$256.83,$448.96,$307.50,$325.07,$391.22,$392.10,$520.92,$506.04,$351.49,$384.46,$574.64,$365.77,$353.79,$288.85,$297.57,$326.33,$331.25,-,$356.52,
67,,$260.09,$454.97,$311.46,$329.24,$396.53,$397.41,$527.99,$512.90,$356.10,$389.64,-,-,-,-,$301.33,-,-,-,-,
68,,$263.24,$460.94,$315.42,$333.41,$401.85,$402.71,$535.11,$519.82,$360.72,$394.82,-,-,-,-,$305.08,-,-,-,-,
69,,$266.50,$466.95,$319.39,$337.58,$407.17,$408.02,$542.22,$526.73,$365.33,$400.00,-,-,-,-,$308.80,-,-,-,-,
70,,$269.66,$472.91,$323.35,$341.75,$412.49,$413.32,$549.29,$533.65,$369.94,$405.18,-,-,-,-,$312.55,-,-,-,-,