,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,
,,,,
Pirate Ship Simple Export Rate®,,,,
"2023 Pirate Ship Rates • Effective January 22nd, 2023",,,,
,,,,
"Exclusive to Pirate Ship, save up to 55% with the cheapest international service available with no minimums - Chat with us to request access",,,,
The best option for businesses expanding globablly - Delivered in 1-4 weeks depending on the receiving country's postal service.,,,,
"We recommend adding a Declared Value to purchase insurance, just in case packages are lost or damaged.",,,,
,,,,
By invitation only - Chat with us to request access,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,
,,,,
Rates,Canada,All other countries,,
Weight Not Over,Canada,Rest of World,,
0.5 lb,$9.49,$11.99,,
1 lb,$12.49,$15.99,,
2 lb,$15.49,$19.99,,
3 lb,$19.49,$26.99,,
4 lb,$26.49,$35.99,,